DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/03/2022,39832198688,CASH ALTERNATIVES PURCHASE (MMDA1),0.9,MMDA1,,,0.00,,,,
01/03/2022,39832198676,CASH ALTERNATIVES PURCHASE,,,,,-0.90,,,,
01/03/2022,39847746372,Sold 1 TSLA Jan 28 2022 990.0 Put @ 19.1,1,TSLA Jan 28 2022 990.0 Put,19.10,0.65,1909.33,0.02,,,
01/03/2022,39847746491,Bought 1 TSLA Jan 21 2022 980.0 Put @ 9.4,1,TSLA Jan 21 2022 980.0 Put,9.40,0.65,-940.66,0.01,,,
01/03/2022,39847769062,Sold 5 DOCN Feb 18 2022 105.0 Put @ 29.2,5,DOCN Feb 18 2022 105.0 Put,29.20,3.25,14596.62,0.13,,,
01/03/2022,39847771352,Bought 5 DOCN Jan 21 2022 105.0 Put @ 28.5,5,DOCN Jan 21 2022 105.0 Put,28.50,3.25,-14253.30,0.05,,,
01/03/2022,39851339568,Sold 1 GLD Mar 18 2022 181.0 Call @ 0.91,1,GLD Mar 18 2022 181.0 Call,0.91,0.65,90.34,0.01,,,
01/03/2022,39851339581,Bought 1 GLD Jan 20 2023 171.0 Call @ 9.9,1,GLD Jan 20 2023 171.0 Call,9.90,0.65,-990.66,0.01,,,
01/04/2022,39863746858,CASH ALTERNATIVES REDEMPTION (MMDA1),588.33,MMDA1,,,0.00,,,,
01/04/2022,39863746853,CASH ALTERNATIVES REDEMPTION,,,,,588.33,,,,
01/04/2022,39883925824,Bought 5 DOCN Feb 18 2022 105.0 Put @ 34.47,5,DOCN Feb 18 2022 105.0 Put,34.47,3.25,-17238.30,0.05,,,
01/04/2022,39883832282,Bought 2 TSLA Jan 14 2022 1100.0 Call @ 80.6,2,TSLA Jan 14 2022 1100.0 Call,80.60,1.30,-16121.32,0.02,,,
01/04/2022,39883836305,Sold 2 TSLA Jan 21 2022 1100.0 Call @ 92.1,2,TSLA Jan 21 2022 1100.0 Call,92.10,1.30,18418.59,0.11,,,
01/04/2022,39883923886,Sold 1 TSLA Jan 21 2022 1010.0 Call @ 157.82,1,TSLA Jan 21 2022 1010.0 Call,157.82,0.65,15781.26,0.09,,,
01/04/2022,39883928090,Bought 1 TSLA Jan 14 2022 1010.0 Call @ 151.52,1,TSLA Jan 14 2022 1010.0 Call,151.52,0.65,-15152.66,0.01,,,
01/05/2022,39901975396,CASH ALTERNATIVES PURCHASE (MMDA1),38187.57,MMDA1,,,0.00,,,,
01/05/2022,39901975390,CASH ALTERNATIVES PURCHASE,,,,,-38187.57,,,,
01/05/2022,39918821525,Bought 2 TSLA Jan 21 2022 1100.0 Call @ 80,2,TSLA Jan 21 2022 1100.0 Call,80.00,1.30,-16001.32,0.02,,,
